productname,date,farmprice,atlantaretail,chicagoretail,losangelesretail,newyorkretail,averagespread
Strawberries,2019-05-19,1.16,2.23,1.7,1.99,2.54,82.32758620689657
Romaine Lettuce,2019-05-19,0.35,1.72,2.0,1.69,1.99,428.57142857142867
Red Leaf Lettuce,2019-05-19,0.32,1.84,1.84,1.69,1.89,467.1875
Potatoes,2019-05-19,1.5,5.32,5.14,3.99,6.22,244.50000000000003
Oranges,2019-05-19,0.41,1.42,1.45,1.34,2.05,281.70731707317077
Iceberg Lettuce,2019-05-19,0.35,1.39,1.46,1.69,1.56,335.71428571428567
Green Leaf Lettuce,2019-05-19,0.31,1.72,1.7,1.69,1.71,449.9999999999999
Celery,2019-05-19,2.83,1.89,2.36,2.52,2.49,-18.197879858657252
Cauliflower,2019-05-19,1.22,3.24,4.35,4.03,2.97,198.9754098360656
Carrots,2019-05-19,0.24,0.95,0.95,0.99,1.22,328.125
Cantaloupe,2019-05-19,1.25,2.34,2.87,2.87,2.94,120.39999999999998
Broccoli Crowns,2019-05-19,0.73,1.49,1.8,1.99,1.99,148.97260273972606
Avocados,2019-05-19,1.23,1.16,1.82,1.75,1.69,30.487804878048784
Strawberries,2019-05-12,0.91,2.67,1.89,2.47,2.66,166.20879120879118
Romaine Lettuce,2019-05-12,0.36,1.74,2.0,1.69,1.99,415.27777777777777
Red Leaf Lettuce,2019-05-12,0.34,1.84,1.75,1.69,1.75,416.91176470588226
Potatoes,2019-05-12,1.5,5.07,5.14,3.99,6.22,240.33333333333337
Oranges,2019-05-12,0.41,1.42,1.55,1.31,1.9,276.82926829268297
Iceberg Lettuce,2019-05-12,0.36,1.44,1.46,1.69,1.49,322.22222222222223
Green Leaf Lettuce,2019-05-12,0.35,1.72,1.7,1.69,1.71,387.1428571428571
Celery,2019-05-12,2.84,1.65,2.36,2.52,2.24,-22.799295774647888
Cauliflower,2019-05-12,2.74,3.24,4.35,3.98,3.48,37.317518248175176
Carrots,2019-05-12,0.3,0.95,0.96,0.99,1.22,243.33333333333337
Cantaloupe,2019-05-12,1.41,2.47,2.91,2.75,3.11,99.29078014184398
Broccoli Crowns,2019-05-12,0.81,1.65,1.72,1.99,2.1,130.2469135802469
Broccoli Bunches,2019-05-12,1.09,1.48,2.11,1.16,1.48,42.88990825688073
Avocados,2019-05-12,1.23,1.12,1.49,1.75,1.69,22.967479674796753
Strawberries,2019-05-05,0.58,2.42,1.89,2.12,2.91,302.5862068965518
Romaine Lettuce,2019-05-05,0.36,1.89,2.0,1.69,1.99,425.69444444444446
Red Leaf Lettuce,2019-05-05,0.34,1.84,1.73,1.69,2.12,442.64705882352933
Potatoes,2019-05-05,1.6,5.07,5.14,3.99,6.22,219.06250000000003
Oranges,2019-05-05,0.41,1.42,1.53,1.17,1.78,259.75609756097566
Iceberg Lettuce,2019-05-05,0.38,1.44,1.46,1.69,1.31,288.15789473684214
Green Leaf Lettuce,2019-05-05,0.34,1.84,1.71,1.69,1.85,421.3235294117647
Celery,2019-05-05,2.46,1.82,2.06,2.52,2.24,-12.195121951219502
Cauliflower,2019-05-05,3.33,3.41,4.36,4.03,3.23,12.837837837837851
Carrots,2019-05-05,0.3,0.99,0.95,0.99,1.22,245.83333333333331
Broccoli Crowns,2019-05-05,0.93,1.65,1.67,1.99,1.61,86.02150537634408
Avocados,2019-05-05,1.01,1.25,1.57,1.69,1.69,53.46534653465345
Strawberries,2019-04-28,0.58,2.79,1.95,2.38,2.96,334.48275862068965
Romaine Lettuce,2019-04-28,0.39,1.89,2.0,1.69,1.86,376.9230769230769
Red Leaf Lettuce,2019-04-28,0.38,1.69,1.75,1.84,1.86,369.7368421052632
Potatoes,2019-04-28,1.6,4.97,5.14,3.99,6.22,217.49999999999997
Oranges,2019-04-28,0.41,1.47,1.47,1.17,1.99,271.95121951219517
Iceberg Lettuce,2019-04-28,0.35,1.44,1.56,1.84,1.56,357.1428571428572
Green Leaf Lettuce,2019-04-28,0.35,1.84,1.7,1.84,2.07,432.1428571428571
Celery,2019-04-28,2.63,1.82,2.36,2.59,2.24,-14.353612167300378
Cauliflower,2019-04-28,3.23,3.41,3.43,3.88,3.35,8.900928792569651
Carrots,2019-04-28,0.3,0.99,0.96,0.99,1.12,238.33333333333337
Broccoli Crowns,2019-04-28,1.04,1.82,1.85,1.99,2.24,89.90384615384615
Broccoli Bunches,2019-04-28,1.27,1.61,2.04,1.56,1.63,34.645669291338585
Avocados,2019-04-28,0.94,1.09,1.57,1.53,1.7,56.648936170212785
Strawberries,2019-04-21,0.69,2.92,2.04,2.38,3.16,280.4347826086957
Romaine Lettuce,2019-04-21,0.51,2.09,2.0,1.77,1.86,278.4313725490196
Red Leaf Lettuce,2019-04-21,0.45,1.84,1.98,1.84,1.86,317.7777777777778
Potatoes,2019-04-21,1.6,4.97,4.31,3.99,6.22,204.53124999999997
Oranges,2019-04-21,0.41,1.44,1.54,0.99,1.99,263.4146341463415
Iceberg Lettuce,2019-04-21,0.42,1.29,1.56,1.84,1.49,267.85714285714295
Green Leaf Lettuce,2019-04-21,0.43,1.84,1.77,1.84,2.07,337.20930232558135
Celery,2019-04-21,2.98,1.82,2.54,2.52,2.24,-23.48993288590603
Cauliflower,2019-04-21,1.96,2.91,3.23,4.08,3.35,73.08673469387756
Carrots,2019-04-21,0.3,0.99,0.95,0.99,1.12,237.5
Broccoli Crowns,2019-04-21,0.75,1.82,1.67,2.14,1.86,149.6666666666667
Broccoli Bunches,2019-04-21,0.85,1.64,2.04,1.49,1.63,100.0
Avocados,2019-04-21,1.03,1.21,1.75,1.75,1.85,59.22330097087381
Strawberries,2019-04-14,0.9,3.04,2.31,2.5,3.41,212.77777777777777
Romaine Lettuce,2019-04-14,0.56,1.99,2.12,1.77,2.02,252.6785714285714
Red Leaf Lettuce,2019-04-14,0.44,2.32,2.03,1.92,1.9,364.20454545454544
Potatoes,2019-04-14,1.6,5.07,4.97,3.99,6.22,216.40625
Oranges,2019-04-14,0.41,1.32,1.34,1.31,2.1,270.12195121951225
Iceberg Lettuce,2019-04-14,0.57,1.49,1.61,1.84,1.56,185.08771929824564
Green Leaf Lettuce,2019-04-14,0.43,2.59,1.82,1.92,1.8,372.67441860465124
Celery,2019-04-14,2.98,1.82,2.36,2.52,2.24,-25.0
Cauliflower,2019-04-14,1.18,3.44,2.7,4.18,3.1,184.3220338983051
Carrots,2019-04-14,0.29,0.99,0.95,0.99,1.02,240.51724137931038
Broccoli Crowns,2019-04-14,0.46,2.24,1.8,2.14,1.99,344.02173913043475
Broccoli Bunches,2019-04-14,0.57,1.94,2.24,1.49,1.63,220.17543859649126
Avocados,2019-04-14,1.13,1.29,1.87,1.5,1.85,44.02654867256639
Asparagus,2019-04-14,2.43,2.48,1.88,2.49,1.61,-12.962962962962976
Strawberries,2019-04-07,1.08,3.04,2.94,2.62,3.74,185.64814814814818
Romaine Lettuce,2019-04-07,0.46,1.99,2.28,1.69,1.96,330.4347826086956
Red Leaf Lettuce,2019-04-07,0.43,2.32,1.86,1.99,2.0,375.0
Potatoes,2019-04-07,1.6,4.07,4.97,3.99,6.22,200.78125
Oranges,2019-04-07,0.41,1.57,1.49,0.99,1.7,250.609756097561
Iceberg Lettuce,2019-04-07,0.5,1.29,1.61,1.84,1.61,217.50000000000003
Green Leaf Lettuce,2019-04-07,0.39,2.32,1.93,1.99,1.81,416.02564102564105
Celery,2019-04-07,2.9,1.52,2.34,2.52,2.83,-20.603448275862057
Cauliflower,2019-04-07,1.06,3.41,3.36,4.18,3.36,237.49999999999994
Carrots,2019-04-07,0.3,0.99,0.96,0.99,1.09,235.83333333333337
Broccoli Crowns,2019-04-07,0.49,1.82,1.97,2.14,2.09,309.1836734693877
Avocados,2019-04-07,1.18,1.16,1.7,1.02,1.57,15.466101694915269
Asparagus,2019-04-07,2.43,2.65,2.73,2.99,2.74,14.300411522633748
Strawberries,2019-03-31,1.81,2.79,3.07,2.87,3.24,65.33149171270718
Romaine Lettuce,2019-03-31,0.39,2.14,2.12,1.69,1.96,407.05128205128204
Red Leaf Lettuce,2019-03-31,0.34,1.82,2.0,1.99,2.06,478.6764705882353
Potatoes,2019-03-31,1.6,4.97,4.97,3.99,6.22,214.84374999999994
Oranges,2019-03-31,0.42,1.58,1.58,1.34,1.7,269.0476190476191
Iceberg Lettuce,2019-03-31,0.51,1.49,1.56,1.84,1.99,237.2549019607843
